kernel,BM,BN,BK,TM,TN,M,N,K,threads,smem_bytes,avg_ms,gflops,correct,status,gpu
k10_warptiling,256,256,8,4,8,2048,2048,2048,512,16384,742.3073,23.14,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,8,8,4,2048,2048,2048,512,16384,777.3550,22.10,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,8,8,8,2048,2048,2048,512,16384,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,16,4,4,2048,2048,2048,512,32768,776.3145,22.13,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,16,4,8,2048,2048,2048,512,32768,746.7480,23.01,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,16,8,4,2048,2048,2048,512,32768,776.1679,22.13,1,ok,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,16,8,8,2048,2048,2048,512,32768,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,32,4,4,2048,2048,2048,512,65536,,,N/A,skipped_shared_memory_over_48KB,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,32,4,8,2048,2048,2048,512,65536,,,N/A,skipped_shared_memory_over_48KB,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,32,8,4,2048,2048,2048,512,65536,,,N/A,skipped_shared_memory_over_48KB,NVIDIA RTX A500 Laptop GPU|sm_86
k10_warptiling,256,256,32,8,8,2048,2048,2048,512,65536,,,N/A,skipped_invalid_WMITER,NVIDIA RTX A500 Laptop GPU|sm_86
